cod,livello,cod_rip,desc_rip,cod_naz,desc_naz,elettori_t,sezioni_tot,quesito_cod,sezioni_perv,votanti_t,perc_vot,sk_bianche,sk_nulle,sk_contestate,voti_si,voti_no,perc_si,perc_no
1220,nazione,1,EUROPA,220,ALBANIA,3063,2,1,2,1333,"43,52",7,75,0,784,467,"62,67","37,33"
1221,nazione,1,EUROPA,221,ANDORRA,809,1,1,1,151,"18,67",0,5,0,103,43,"70,55","29,45"
1222,nazione,1,EUROPA,222,AUSTRIA,39188,15,1,15,12833,"32,75",84,609,0,3639,8501,"29,98","70,02"
1223,nazione,1,EUROPA,223,BELGIO,254590,96,1,96,43506,"17,09",361,3571,14,15288,24272,"38,65","61,35"
1224,nazione,1,EUROPA,224,BULGARIA,2879,1,1,1,791,"27,47",6,74,0,399,312,"56,12","43,88"
1225,nazione,1,EUROPA,225,REPUBBLICA CECA,6883,3,1,3,2457,"35,70",9,110,0,904,1434,"38,67","61,33"
1226,nazione,1,EUROPA,226,STATO CITTA' DEL VATICANO,0,1,1,1,0,0,0,0,0,0,0,0,0
1227,nazione,1,EUROPA,227,DANIMARCA,15450,6,1,6,4629,"29,96",18,229,0,922,3460,"21,04","78,96"
1228,nazione,1,EUROPA,228,FINLANDIA,4763,2,1,2,2051,"43,06",4,94,0,519,1434,"26,57","73,43"
1229,nazione,1,EUROPA,229,FRANCIA,369455,143,1,141,0,0,0,0,0,41511,58652,"41,44","58,56"
1230,nazione,1,EUROPA,230,GERMANIA,720524,268,1,268,160838,"22,32",1108,13238,50,67869,78573,"46,35","53,65"
1231,nazione,1,EUROPA,231,REGNO UNITO,410645,159,1,155,0,0,0,0,0,37793,59089,"39,01","60,99"
1232,nazione,1,EUROPA,232,GRECIA,11797,5,1,5,4030,"34,16",38,264,0,1364,2364,"36,59","63,41"
1233,nazione,1,EUROPA,233,IRLANDA,25805,9,1,9,8915,"34,55",37,446,0,2749,5683,"32,60","67,40"
1234,nazione,1,EUROPA,234,ISLANDA,678,1,1,1,165,"24,34",0,10,0,19,136,"12,26","87,74"
1236,nazione,1,EUROPA,236,SERBIA,1946,2,1,2,544,"27,95",3,29,0,281,231,"54,88","45,12"
1237,nazione,1,EUROPA,237,LIECHTENSTEIN,1363,2,1,2,426,"31,25",5,42,0,240,139,"63,32","36,68"
1238,nazione,1,EUROPA,238,LUSSEMBURGO,29386,11,1,11,10779,"36,68",127,719,0,3909,6024,"39,35","60,65"
1239,nazione,1,EUROPA,239,MALTA,10150,4,1,4,3378,"33,28",18,178,0,1375,1807,"43,21","56,79"
1240,nazione,1,EUROPA,240,MONACO,6975,3,1,3,3430,"49,18",18,226,0,2512,674,"78,84","21,16"
1241,nazione,1,EUROPA,241,NORVEGIA,8137,3,1,3,2690,"33,06",10,155,0,664,1861,"26,30","73,70"
1242,nazione,1,EUROPA,242,PAESI BASSI,62364,25,1,25,20664,"33,13",56,839,0,5316,14453,"26,89","73,11"
1243,nazione,1,EUROPA,243,POLONIA,8850,3,1,3,3100,"35,03",15,137,0,1306,1642,"44,30","55,70"
1244,nazione,1,EUROPA,244,PORTOGALLO,23956,9,1,9,8690,"36,27",43,469,3,3497,4678,"42,78","57,22"
1245,nazione,1,EUROPA,245,ROMANIA,9203,4,1,4,2321,"25,22",9,236,0,1393,683,"67,10","32,90"
1246,nazione,1,EUROPA,246,SAN MARINO,12834,5,1,5,7914,"61,66",40,457,0,3845,3572,"51,84","48,16"
1248,nazione,1,EUROPA,248,SPAGNA,264837,98,1,98,71523,"27,01",432,3813,84,32376,34818,"48,18","51,82"
1249,nazione,1,EUROPA,249,SVEZIA,17086,7,1,7,5891,"34,48",30,262,2,1405,4192,"25,10","74,90"
1250,nazione,1,EUROPA,250,SVIZZERA,543932,208,1,208,167162,"30,73",1924,10703,6,75948,78581,"49,15","50,85"
1251,nazione,1,EUROPA,251,UNGHERIA,4375,2,1,2,1340,"30,63",13,85,0,669,573,"53,86","46,14"
1252,nazione,1,EUROPA,252,FEDERAZIONE RUSSA,3280,2,1,2,359,"10,95",0,16,0,160,183,"46,65","53,35"
1254,nazione,1,EUROPA,254,LITUANIA,660,1,1,1,256,"38,79",1,8,0,90,157,"36,44","63,56"
1255,nazione,1,EUROPA,255,LETTONIA,514,1,1,1,212,"41,25",0,6,0,92,114,"44,66","55,34"
1256,nazione,1,EUROPA,256,ESTONIA,892,1,1,1,339,"38,00",2,10,0,124,203,"37,92","62,08"
1257,nazione,1,EUROPA,257,BIELORUSSIA,239,1,1,1,82,"34,31",1,3,0,44,34,"56,41","43,59"
1258,nazione,1,EUROPA,258,UCRAINA,0,1,1,1,0,0,0,0,0,0,0,0,0
1259,nazione,1,EUROPA,259,CROAZIA,15916,6,1,6,3058,"19,21",20,306,4,1626,1102,"59,60","40,40"
1308,nazione,1,EUROPA,308,CIPRO,1624,1,1,1,529,"32,57",1,34,0,260,234,"52,63","47,37"
1333,nazione,1,EUROPA,333,TURCHIA,4537,3,1,3,1103,"24,31",3,60,0,520,520,"50,00","50,00"
1450,nazione,1,EUROPA,450,SLOVENIA,4623,4,1,4,1911,"41,34",8,131,0,788,984,"44,47","55,53"
1451,nazione,1,EUROPA,451,BOSNIA-ERZEGOVINA,1026,1,1,1,452,"44,05",3,36,0,248,165,"60,05","39,95"
